Timecode List:,00:00:07.250,00:00:10.792,00:00:16.000,00:00:21.000,00:00:25.208,00:00:34.583,00:00:35.375,00:00:36.708,00:00:39.875,00:00:43.167,00:00:46.667,00:00:49.000,00:00:50.917,00:00:57.958,00:01:00.000,00:01:03.958,00:01:05.417,00:01:06.500,00:01:08.417,00:01:10.625,00:01:15.292,00:01:16.958,00:01:17.875,00:01:19.375,00:01:21.667,00:01:26.167,00:01:28.792,00:01:31.333,00:01:36.917,00:01:41.375,00:01:44.417,00:01:45.667,00:01:46.458,00:01:47.958,00:01:48.625,00:01:50.833,00:01:53.833,00:01:56.125,00:01:57.125,00:01:59.375,00:02:02.083,00:02:05.458,00:02:11.750,00:02:16.583,00:02:20.167,00:02:21.875,00:02:26.167,00:02:30.875,00:02:34.542,00:02:37.500,00:02:40.625,00:02:42.458,00:02:45.250,00:02:51.917
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
23,1847,00:01:16.958,76.958,1869,00:01:17.875,77.875,22,00:00:00.917,0.917
24,1869,00:01:17.875,77.875,1905,00:01:19.375,79.375,36,00:00:01.500,1.500
25,1905,00:01:19.375,79.375,1960,00:01:21.667,81.667,55,00:00:02.292,2.292
26,1960,00:01:21.667,81.667,2068,00:01:26.167,86.167,108,00:00:04.500,4.500
27,2068,00:01:26.167,86.167,2131,00:01:28.792,88.792,63,00:00:02.625,2.625
28,2131,00:01:28.792,88.792,2192,00:01:31.333,91.333,61,00:00:02.542,2.542
29,2192,00:01:31.333,91.333,2326,00:01:36.917,96.917,134,00:00:05.583,5.583
30,2326,00:01:36.917,96.917,2433,00:01:41.375,101.375,107,00:00:04.458,4.458
31,2433,00:01:41.375,101.375,2506,00:01:44.417,104.417,73,00:00:03.042,3.042
32,2506,00:01:44.417,104.417,2536,00:01:45.667,105.667,30,00:00:01.250,1.250
33,2536,00:01:45.667,105.667,2555,00:01:46.458,106.458,19,00:00:00.792,0.792
34,2555,00:01:46.458,106.458,2591,00:01:47.958,107.958,36,00:00:01.500,1.500
35,2591,00:01:47.958,107.958,2607,00:01:48.625,108.625,16,00:00:00.667,0.667
36,2607,00:01:48.625,108.625,2660,00:01:50.833,110.833,53,00:00:02.208,2.208
37,2660,00:01:50.833,110.833,2732,00:01:53.833,113.833,72,00:00:03.000,3.000
38,2732,00:01:53.833,113.833,2787,00:01:56.125,116.125,55,00:00:02.292,2.292
39,2787,00:01:56.125,116.125,2811,00:01:57.125,117.125,24,00:00:01.000,1.000
40,2811,00:01:57.125,117.125,2865,00:01:59.375,119.375,54,00:00:02.250,2.250
41,2865,00:01:59.375,119.375,2930,00:02:02.083,122.083,65,00:00:02.708,2.708
42,2930,00:02:02.083,122.083,3011,00:02:05.458,125.458,81,00:00:03.375,3.375
43,3011,00:02:05.458,125.458,3162,00:02:11.750,131.750,151,00:00:06.292,6.292
44,3162,00:02:11.750,131.750,3278,00:02:16.583,136.583,116,00:00:04.833,4.833
45,3278,00:02:16.583,136.583,3364,00:02:20.167,140.167,86,00:00:03.583,3.583
46,3364,00:02:20.167,140.167,3405,00:02:21.875,141.875,41,00:00:01.708,1.708
47,3405,00:02:21.875,141.875,3508,00:02:26.167,146.167,103,00:00:04.292,4.292
48,3508,00:02:26.167,146.167,3621,00:02:30.875,150.875,113,00:00:04.708,4.708
49,3621,00:02:30.875,150.875,3709,00:02:34.542,154.542,88,00:00:03.667,3.667
50,3709,00:02:34.542,154.542,3780,00:02:37.500,157.500,71,00:00:02.958,2.958
51,3780,00:02:37.500,157.500,3855,00:02:40.625,160.625,75,00:00:03.125,3.125
52,3855,00:02:40.625,160.625,3899,00:02:42.458,162.458,44,00:00:01.833,1.833
53,3899,00:02:42.458,162.458,3966,00:02:45.250,165.250,67,00:00:02.792,2.792
54,3966,00:02:45.250,165.250,4126,00:02:51.917,171.917,160,00:00:06.667,6.667
55,4126,00:02:51.917,171.917,4877,00:03:23.208,203.208,751,00:00:31.292,31.292
