a1,a2
68,Text
68,Text
68,Text
68,Text
68,Text
68,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
69,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
70,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
71,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
72,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
73,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
74,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
75,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
76,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
77,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
78,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
79,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
80,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
81,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
82,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
83,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
84,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
85,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
86,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
87,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
88,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
89,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
90,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
91,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
92,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
93,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
94,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
95,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
96,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
97,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
98,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
99,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
100,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
101,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
102,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
103,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
104,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
105,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
106,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
107,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
108,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
109,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
110,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
111,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
112,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
113,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
114,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
115,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
116,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
117,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
118,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
119,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
120,Text
157,Object
157,Person
157,Person
157,Object
157,Person
157,Person
157,Object
157,Object
157,Object
157,Object
158,Object
158,Object
158,Object
158,Person
158,Person
158,Person
158,Person
158,Object
158,Person
158,Object
158,Object
159,Person
159,Person
159,Object
159,Object
159,Person
159,Person
159,Person
159,Object
159,Object
159,Object
159,Object
160,Person
160,Object
160,Person
160,Person
160,Person
160,Object
160,Object
160,Object
160,Object
160,Object
160,Person
160,Person
161,Object
161,Object
161,Person
161,Person
161,Person
161,Object
161,Person
161,Person
161,Object
161,Object
161,Object
161,Person
161,Person
162,Object
162,Object
162,Person
162,Object
162,Person
162,Object
162,Object
162,Person
162,Person
162,Person
162,Object
162,Person
162,Person
163,Object
163,Person
163,Person
163,Object
163,Person
163,Person
163,Person
163,Person
163,Person
163,Object
163,Object
163,Object
163,Object
164,Object
164,Person
164,Object
164,Person
164,Person
164,Object
164,Person
164,Object
164,Person
164,Object
164,Object
164,Person
164,Person
165,Person
165,Object
165,Object
165,Person
165,Person
165,Person
165,Object
165,Person
165,Object
165,Object
165,Object
165,Object
165,Person
166,Object
166,Person
166,Person
166,Object
166,Person
166,Object
166,Person
166,Person
166,Object
166,Object
166,Person
166,Object
166,Object
167,Person
167,Object
167,Person
167,Person
167,Object
167,Object
167,Object
167,Object
167,Person
167,Object
167,Person
167,Person
167,Object
168,Object
168,Person
168,Object
168,Person
168,Object
168,Person
168,Person
168,Object
168,Object
168,Object
168,Object
168,Person
169,Object
169,Person
169,Person
169,Object
169,Person
169,Object
169,Object
169,Person
169,Object
169,Person
169,Object
169,Person
169,Object
170,Person
170,Object
170,Person
170,Object
170,Object
170,Object
170,Object
170,Person
170,Person
170,Object
170,Person
170,Object
171,Object
171,Object
171,Object
171,Object
171,Person
171,Person
171,Person
171,Object
171,Object
171,Person
171,Object
171,Person
172,Object
172,Person
172,Object
172,Person
172,Object
172,Person
172,Object
172,Person
172,Person
172,Object
172,Object
172,Object
173,Object
173,Object
173,Object
173,Object
173,Person
173,Object
173,Person
173,Person
173,Object
173,Object
173,Person
173,Person
174,Object
174,Person
174,Object
174,Object
174,Object
174,Person
174,Object
174,Person
174,Object
174,Person
174,Object
174,Person
175,Object
175,Object
175,Object
175,Person
175,Object
175,Object
175,Person
175,Object
175,Person
175,Object
175,Person
175,Person
176,Object
176,Object
176,Person
176,Person
176,Object
176,Person
176,Object
176,Object
176,Object
176,Person
176,Person
176,Object
177,Person
177,Object
177,Person
177,Object
177,Object
177,Object
177,Object
177,Person
177,Person
177,Object
177,Person
178,Object
178,Person
178,Person
178,Object
178,Person
178,Person
178,Object
178,Object
178,Object
178,Person
178,Object
179,Object
179,Object
179,Object
179,Object
179,Person
179,Object
179,Person
179,Object
179,Person
179,Person
179,Person
180,Person
180,Object
180,Person
180,Person
180,Object
180,Person
180,Object
180,Person
180,Object
180,Object
180,Object
181,Person
181,Object
181,Person
181,Object
181,Person
181,Object
181,Object
181,Object
181,Person
181,Object
181,Person
181,Person
182,Object
182,Person
182,Person
182,Person
182,Object
182,Person
182,Person
182,Object
182,Object
182,Person
182,Person
182,Object
182,Object
183,Person
183,Object
183,Object
183,Object
183,Object
183,Person
183,Person
183,Person
183,Object
183,Person
183,Person
183,Object
183,Person
184,Person
184,Object
184,Object
184,Object
184,Person
184,Object
184,Person
184,Person
184,Person
184,Person
184,Person
184,Object
184,Object
184,Person
185,Object
185,Object
185,Person
185,Person
185,Object
185,Person
185,Object
185,Object
185,Person
185,Person
185,Person
185,Person
185,Object
185,Person
186,Person
186,Person
186,Person
186,Object
186,Object
186,Object
186,Object
186,Person
186,Person
186,Person
186,Person
186,Object
186,Object
186,Person
187,Person
187,Person
187,Object
187,Person
187,Person
187,Object
187,Object
187,Person
187,Person
187,Person
187,Person
187,Object
187,Object
187,Object
188,Person
188,Person
188,Person
188,Person
188,Object
188,Object
188,Object
188,Object
188,Person
188,Person
188,Person
188,Person
188,Object
188,Object
189,Person
189,Person
189,Object
189,Object
189,Object
189,Person
189,Person
189,Person
189,Person
189,Object
189,Object
189,Object
189,Person
189,Person
190,Person
190,Object
190,Object
190,Object
190,Person
190,Person
190,Person
190,Object
190,Person
190,Person
190,Person
190,Object
190,Object
190,Object
190,Person
191,Person
191,Person
191,Person
191,Person
191,Object
191,Object
191,Object
191,Person
191,Object
191,Person
191,Object
191,Object
191,Person
191,Person
191,Person
191,Object
192,Object
192,Person
192,Person
192,Person
192,Object
192,Object
192,Person
192,Person
192,Person
192,Person
192,Object
192,Person
192,Object
192,Object
192,Object
192,Person
193,Person
193,Person
193,Object
193,Person
193,Object
193,Object
193,Object
193,Person
193,Object
193,Person
193,Person
193,Object
193,Object
193,Person
193,Person
193,Person
194,Object
194,Object
194,Person
194,Person
194,Object
194,Object
194,Object
194,Object
194,Person
194,Person
194,Person
194,Person
194,Person
194,Object
194,Person
194,Person
195,Person
195,Person
195,Person
195,Person
195,Person
195,Object
195,Object
195,Object
195,Object
195,Object
195,Person
195,Person
195,Person
195,Person
195,Person
195,Object
195,Object
196,Object
196,Person
196,Person
196,Object
196,Object
196,Person
196,Object
196,Object
196,Object
196,Person
196,Person
